popularity,duration,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,label
67.0,197.70113,0.34834000000000004,194.11302,-6.749,137.915,0.8160000000000001,4,0.894,6,0.0,0,0.06,0.731,0.549,0.0329,0.0154,9.119999999999999e-06,0.0825,0.449,197701,1
75.0,164.66277,0.16771000000000003,159.10313,-8.401,141.102,0.455,4,0.87,8,0.436,1,0.47600000000000003,0.649,0.461,0.0449,0.44,0.0,0.108,0.485,164663,1
57.0,229.0,0.38313,222.73161,-7.033,113.03,0.637,4,1.0,8,0.05,0,0.188,0.7000000000000001,0.543,0.0414,0.187,0.00031499999999999996,0.388,0.382,229000,1
60.0,165.78667,0.12195000000000002,152.39838,-7.746,112.973,0.326,3,1.0,1,0.545,0,0.508,0.795,0.437,0.063,0.562,3.7899999999999997e-06,0.0801,0.353,165787,1
54.0,234.38458,0.33061,225.67474,-7.788,100.247,0.37,4,1.0,1,0.581,0,0.653,0.718,0.537,0.0772,0.246,0.026600000000000002,0.113,0.602,234385,0
58.0,130.54376,0.49397,127.80263,-4.962,100.097,0.123,4,1.0,6,0.616,1,0.64,0.734,0.613,0.0345,0.0049,0.011600000000000001,0.359,0.22,130544,1
58.0,238.74286,0.0,232.88454,-8.898,90.918,0.5,4,1.0,11,0.599,0,0.907,0.685,0.542,0.391,0.305,7.429999999999999e-06,0.112,0.396,238743,1
71.0,151.73334,0.31116000000000005,148.42776,-5.452,200.021,0.2,4,1.0,0,0.683,0,0.653,0.519,0.445,0.20600000000000002,0.434,0.0,0.258,0.505,151733,1
74.0,189.90594,0.0,168.17052,-8.056,161.625,0.337,4,0.991,3,0.519,1,0.594,0.39,0.607,0.303,0.632,0.00016199999999999998,0.138,0.34700000000000003,189906,1
66.0,236.33333,0.0,217.08916,-8.416,96.997,0.41200000000000003,4,0.986,10,0.017,0,0.2,0.8230000000000001,0.487,0.34700000000000003,0.08600000000000001,2.85e-05,0.17200000000000001,0.17200000000000001,236333,1
74.0,204.7551,0.16249000000000002,201.079,-7.376,100.033,0.7000000000000001,4,1.0,6,0.587,0,0.577,0.805,0.525,0.06380000000000001,0.11900000000000001,0.00203,0.0779,0.6930000000000001,204755,1
82.0,215.3035,0.0,210.2683,-4.241,135.997,0.739,4,0.924,3,0.424,0,0.464,0.849,0.631,0.0637,0.171,0.0,0.149,0.55,215304,1
77.0,192.02155,0.13351000000000002,180.8312,-10.461,169.913,0.193,4,0.994,11,0.804,1,0.656,0.646,0.533,0.11800000000000001,0.0589,1.75e-06,0.269,0.249,192022,1
54.0,209.73663,0.19751000000000002,200.30113,-6.398,101.179,0.676,4,1.0,1,0.246,1,0.47700000000000004,0.725,0.666,0.148,0.41100000000000003,0.0,0.123,0.62,209737,0
78.0,181.76,0.5511600000000001,175.87373,-1.24,119.959,0.7010000000000001,4,1.0,5,0.052000000000000005,1,0.231,0.6950000000000001,0.896,0.0847,0.179,0.0,0.0626,0.508,181760,1
72.0,183.98286,0.08186,172.41977,-8.013,94.528,0.291,4,1.0,9,0.46,1,0.377,0.841,0.545,0.222,0.268,0.0,0.25,0.305,183983,1
72.0,182.68,2.77478,177.55719,-2.322,134.98,0.834,4,1.0,3,0.20400000000000001,0,0.33,0.684,0.877,0.0611,0.0477,0.0,0.34400000000000003,0.599,182680,1
66.0,151.34721,0.0,143.08136,-8.247,90.016,0.276,4,1.0,2,0.06,1,0.32,0.779,0.554,0.06670000000000001,0.0608,0.0,0.0942,0.299,151347,1
69.0,117.06667,0.06381,114.06803,-10.484,134.079,0.734,4,1.0,2,0.706,1,0.583,0.885,0.353,0.0912,0.08660000000000001,5.780000000000001e-05,0.17300000000000001,0.316,117067,1
