danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
0.781,0.8140000000000001,0.1,0.07350000000000001,1.9200000000000003e-05,0.0565,0.546
0.81,0.604,0.09040000000000001,0.316,0.0514,0.0944,0.646
0.558,0.718,0.0509,0.00489,2.9699999999999995e-06,0.262,0.379
0.6970000000000001,0.653,0.10200000000000001,0.166,0.231,0.0911,0.627
0.534,0.5730000000000001,0.41400000000000003,0.009260000000000001,0.0,0.136,0.373
0.751,0.672,0.108,0.157,0.0,0.091,0.599
0.675,0.318,0.027700000000000002,0.428,1.02e-06,0.0826,0.522
0.795,0.526,0.20400000000000001,0.067,2e-06,0.134,0.194
0.765,0.402,0.0557,0.0178,1.84e-05,0.11,0.353
0.898,0.493,0.133,0.022500000000000003,2.2999999999999996e-06,0.128,0.152
0.645,0.534,0.047900000000000005,0.157,0.0,0.0863,0.463
0.851,0.778,0.0431,0.139,0.196,0.0956,0.801
0.897,0.7000000000000001,0.117,0.0193,0.009000000000000001,0.12,0.755
0.734,0.538,0.146,0.253,0.0,0.229,0.461
0.6930000000000001,0.728,0.0335,0.017400000000000002,7.2e-06,0.061,0.655
0.8270000000000001,0.705,0.0429,0.0813,0.005560000000000001,0.10200000000000001,0.624
0.728,0.791,0.0468,0.0356,0.0,0.34,0.47000000000000003
0.398,0.519,0.0315,0.057300000000000004,1.86e-05,0.191,0.133
0.751,0.391,0.0324,0.396,0.0034200000000000003,0.09290000000000001,0.468
0.834,0.402,0.07200000000000001,0.76,0.0,0.279,0.684
0.788,0.764,0.254,0.00918,0.0,0.224,0.841
0.601,0.787,0.031,0.0492,0.0,0.14200000000000002,0.525
0.28700000000000003,0.597,0.0419,0.273,0.0,0.105,0.31
0.589,0.605,0.0273,0.0658,0.0,0.332,0.503
0.5760000000000001,0.736,0.07490000000000001,0.665,0.0,0.151,0.759
0.893,0.757,0.0738,0.112,0.0634,0.107,0.681
0.405,0.8320000000000001,0.038,0.06810000000000001,0.0,0.0916,0.402
0.8,0.545,0.0629,0.179,0.0,0.062200000000000005,0.34900000000000003
0.616,0.557,0.0413,0.354,1.53e-06,0.34500000000000003,0.626
0.598,0.877,0.112,0.105,0.0,0.0988,0.615
0.8140000000000001,0.778,0.115,0.0368,0.0,0.635,0.933
0.56,0.41200000000000003,0.0298,0.583,0.0,0.188,0.297
0.591,0.333,0.029,0.122,0.0,0.124,0.377
0.735,0.6890000000000001,0.0297,0.045200000000000004,0.0,0.0635,0.392
0.7010000000000001,0.716,0.0361,0.17400000000000002,0.0,0.324,0.732
0.591,0.6940000000000001,0.0597,0.315,0.0,0.47200000000000003,0.51
0.673,0.729,0.049600000000000005,0.083,0.0,0.1,0.675
0.669,0.629,0.08030000000000001,0.217,0.0,0.366,0.294
0.42,0.9430000000000001,0.08080000000000001,0.0010500000000000002,0.0,0.276,0.484
0.445,0.8210000000000001,0.215,0.0614,8.789999999999999e-06,0.40900000000000003,0.331
0.419,0.604,0.032100000000000004,0.0356,0.0,0.0863,0.163
0.515,0.321,0.0742,0.841,5.75e-05,0.338,0.242
0.441,0.675,0.0855,0.011,0.0,0.362,0.614
0.56,0.41000000000000003,0.027600000000000003,0.544,0.0,0.151,0.28
0.651,0.794,0.0795,0.128,0.0,0.0755,0.265
0.704,0.7010000000000001,0.0594,0.058,0.0,0.127,0.592
